Job ID,Description
0,"At Applied Materials, we are building the next generation fab productivity solutions using Artificial Intelligence and Machine Learning. Our AI/ML team is looking for a Data Scientist who will be responsible for building predictive and prescriptive models to increase and optimize fab productivity. The data scientist must be self-directed and independent in conducting their work as well as working with and supporting globally distributed teams. The right candidate will be excited by the prospect of building our company’s next generation data science practice and products.
Responsibilities

Formulate and lead guided, multifaceted analytic studies against large volumes of data.
Interpret and analyze data using exploratory mathematic and statistical techniques based on the scientific method.
Coordinate research and analytic activities utilizing various data points (unstructured and structured) and employ programming to clean, massage, and organize the data.
Experiment against data points, provide information based on experiment results and provide previously undiscovered solutions to command data challenges.
Develop, productize and maintain machine learning and optimization models according to requirements to transform our product into an innovative industry leader
Analyze problems and determines root causes.
Work with stakeholders including the Product management, Data and Design teams to build models.
Support our customers with their data science and optimization problems using our product
Qualifications

Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Experience working with ‘big data’ data pipelines, architectures and data sets.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Strong analytic skills related to working with unstructured datasets.
A successful history of manipulating, processing and extracting value from large disconnected datasets.
Strong project management and organizational skills.
Experience supporting and working with cross-functional teams in a dynamic environment.
Experience with big data tools: Hadoop, Spark, Kafka, etc.
Experience with relational SQL and NoSQL databases, including Postgres, Cassandra, MongoDB.
Experience with cloud AI services from AWS, Google, Azure
Experience with optimization tools: Gurobi, CPLEX, etc.
Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.
Education/Experience

Candidate with 2+ years of experience in a Data Scientist role, who has attained a Graduate degree in Operations Research, Computer Science, Statistics, Informatics, Information Systems or another quantitative field"
1,"We, from Vestibulum Technologies, located at Bangalore, are inviting applications from minimum 6 months experienced professionals for the below mentioned skills


We follow SDLC / CI CD practices to develop custom curated solutions for mobile desktop web and data science machine learning deep learning domain


This post is not for Testing Engineers, SSE, Product Managers and those in the top cadre


We build Software Solutions / AI Solutions for our own in-house Dev Firm


We do not provide Training


We do not take bond no service agreement and we compensate you based on your performance / output / problem solving capabilities


We have openings for the below mentioned skills


, Machine Learning ( Supervised Learning, Unsupervised Learning, Reinforcement Learning )


, Deep Learning, Computer Vision, NLP


You should have done projects based on TensorFlow, TensorFlow Serving, TFX


PyTorch, PyTorch Lightning, Torchaudio, Torchvideo, Torchelastic


knowledge of AutoML, pycaret, Sagemaker is a advantage but not mandatory


Please do let us know when are you available for a intense 30 mins to 1 hour technical discussion / programming test interview for the above skills at google meet

This is a 2 months paid internship and FTE (*)


Do forward your resume to

careers.vest@vestibulum.net

venkatasrini2021@gmail.com , with this screenshot

(*)- subject to your performance during the Internship


Thanks for reading the post"
2,"Machine Learning Engineers opening with a leading AI Organization based out of U.S.A with Work from anywhere opportunity.


Job Title : Machine Learning Engineer, Full time position

Experience : 2 to 3 years

Qualification : Graduation in any Stream/Discipline.

Key skills : Python, Pandas and Numpy.

Location : Remote / Work from anywhere

Pay range : Competitive as per market depending upon skill sets possessed by the candidate.

Selected candidate will have the opportunity to work in Data science projects with Fortune 500 companies and eminent professors from Global universities.

Candidates meeting the above eligibility criteria may send in your cv's to chidambaram@flipped.ai or Whatsapp your profile to +91-96775-26679"
3,"Greetings from Skillvertex

Please read the details carefully before applying..

In this Internship and Training, you'll learn all about becoming proficient in selected domain, from the responsibilities that a MNC experts performs on a day-to-day basis to the set of skills that you'd need to succeed in such a role. And, of course, you'll also get your hands dirty with code: We'll introduce you to the fundamental building blocks of Industry qualified.

1st Month: Industrial Training

The first month is for training in which the students will be taught by top MNC experts in their Domain of interest via live/ recorded lectures. The training will cover the basics in the domain such that students with no prior experience may also be able to learn effectively.

2nd Month: Industrial Projects

The second month features two project opportunities for the students to implement the knowledge they have acquired. The first is a minor or individual project for 7 days which is to encourage every student to bring into practice what they have learned and the second is a major or group project in which the students will be working in teams of 5-10 members to simulate an office work environment similar to that in MNCs. The students would have access to the study material for a total period of 6 months as well as intellectual property rights to the completed projects.

After Completion of Two month. You will be certified with three
certificate.
🎓 Training Completion Certificate
🎓 Internship Completion Certificate
🎓 Excellence Performance Certificate

The entire program is supervised by industry experts from our affiliated MNCs who will be guiding the students through their projects with the help of a planned curriculum as well as their personal experiences.


PLEASE NOTE: THERE WILL BE A TRAINING FEE."
4,"We are Picsniff - our mission is to change the lives of millions of photographers worldwide. We are doing this by automating mundane tasks using machine learning. Our founder, Anand Rathi, was named in the 'Top 100 photographers of the world' in 2019 and is a computer engineer from IIIT Hyderabad.


Our current product has received tremendous traction but we are just getting started . To achieve our vision we are looking at senoir Computer vision engineers.


Minimum qualifications:

3+ years of professional, hands-on computer vision experience with the ability to translate research into applications

Primary responsibilities would include:

Developing on a state-of-the-art system to help accomplish the product vision
Expand the team

What’s in it for you:


Competitive compensation
Generous perks and benefits
100% remote work

If this has got you thinking, ping the founder Anand Rathi at anand@picsniff.com or on his LinkedIn profile."
5,"Profile: SQL Developer

Job Description:

Create or modify SQL scripts or stored procedures
Perform database insertions via SQL script or stored procedure
Manipulate data to meet import requirements while maintaining data integrity
Follow standard practices and procedures and apply basic theories, concepts, principles and methodologies in analyzing situations or data
Troubleshoot and resolve system issues
Compose project documentation (e.g., high level use cases, detailed business specifications) and translate business needs into technical requirements
Follow and support corporate security policies, standards, and procedures as they apply to this role. Maintain customer and corporate standards as outlined by HIPAA.
Pay range unavailable
Salary information is not available at the moment."
6,"Job Description


Hiring Interns at Rabbani ITI college for various role.

1. Human Resources Intern

The duration of internship is available in 6 month's only.

Applicants must be MBA(HR) completed or pursuing
Perks :
1. Appointment Letter
2. Internship Completion Certificate
3. Letter of Appreciation
4. Letter of Recommendations

Due to Pandemic and lockdown restrictions. This is going to be virtual internship program Candidate are supposed to work from their h"
7,"Qualification: Graduate/PG
Background: Computer Science/IT Preferred
Experience: Freshers are also eligible

Skills: Knowledge of HTML,CSS, Blockly
Programming Language Skillset (HTML, CSS, Js, React Native, Python) preferred

Location: PAN India
Notice Period: Immediate Joiner

Interview Mode: Virtual
Shift: As per the School Timing
Salary: Upto 3L INR"
8,"Profile: Python Developer

The services enable our corporate and institutional clients to access financial markets and liquidity, unlock investment opportunities, manage risk and transact seamlessly. Our global network is combined with emerging markets leadership and specialist expertise, giving clients the confidence to go where the growth is and capture new opportunities. The application or API s that they are trying to build here is connecting with the multiple source systems (File share, share point, Jira, API uses, Database). Gathering the data from various sources and then managing the data and finding the risk and control and the presenting the data to the team. It s like exposing the data via API.

What will you get to learn?

Experience of working with infrastructure teams to deliver the best architecture for applications.
Working in a global team with different cultures.
Knowledge or experience with Development pipelines and automation in a CI/CD context.
Broad experience with IT development and collaboration tools (Git/Bit bucket; Confluence; Jira; etc.).
IT Security and Application Development best practice.
IT industry process knowledge in some or all of ITIL; Agile/Scrum; DevOps principles.
Can learn qlikview, cognos, data stage, Grafana.
Resource would not be restricted to one project but would have to the opportunity to contribute and deliver within the timelines to the multiple areas of Automation and Robotics. Freehand to come up with new technologies and ideas on how they could contribute. The organization has fearless work culture where they will get a chance to work free hand under a fearless culture.
Google Cloud Platform
Team is known for Single click deployments and 1200 releases
Candidates will get to solve complex business challenges and sensitive systems and will get a chance to work on large data size.
Candidates will get a chance to work on agile and DevOPs environment.

Skills Required (Mandatory):

Python Development
Uses and Development of API or Micro services
Knowledge of Database"
9,"Designation - Data Scientist

Urgently required. (NP of maximum 15 days)

Location:- Mumbai

Experience:- 3-7 years.

Package Offered:- Rs.3,00,000/- to Rs.7,00,000/- pa.


Data Scientist


Job Description:-

Responsibilities:

Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams
Requirements:

Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understanding of machine-learning and operations research
Knowledge of R, SQL and Python; familiarity with Scala, Java is an asset
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred"
